Status,Date,Description,Debit,Credit
DIY,2/28/22,RING'S END #23-MADISON MADISON CT,28.29,
Ent,2/28/22,Prime Video*1I94Z9KP0 888-802-3080 WA,6.37,
Dining,2/27/22,TST* Cilantro Specialt Guilford CT,6.98,
Dining,2/26/22,MADISON COFFEE HOUSE MADISON CT,12.91,
Food,2/26/22,STOP & SHOP 0624 MADISON CT,192.79,
Food,2/26/22,SQ *SAVVY TEA GOURMET Madison CT,12,
Ent,2/26/22,A MEDIUM CORPORATION 4155085008 CA Digital Account Number XXXXXXXXXXXX8573,5,
Stuff,2/24/22,AMZN Mktp US*1I1QG4DW1 Amzn.com/bill WA,69.63,
Dining,2/23/22,JIA MEI ASIAN KITCHEN MADISON CT,14.49,
Stuff,2/23/22,REI.COM 800-426-4840 800-426-4840 WA,276.14,
Stuff,2/22/22,AMAZON.COM*1I9802FA0 A AMZN.COM/BILL WA,136.11,
Ent,2/21/22,APPLE.COM/BILL 1111111111 CA,3.02,
Stuff,2/20/22,EDDIE BAUER 897 WESTBROOK CT,66.45,
Ent,2/20/22,SPOTIFY 8777781161 NY Digital Account Number XXXXXXXXXXXX6756,17.01,
DIY,2/20/22,KILLINGWORTH TRUE VALU KILLINGWORTH CT,6.69,
Gas,2/20/22,EXXONMOBIL 97395339 WESTBROOK CT,68.27,
Dining,2/20/22,TST* SIFT BAKERY MYSTIC CT,33.95,
Ent,2/20/22,MYSTIC MUSEUM OF ART MYSTIC CT,8,
Food,2/19/22,STOP & SHOP 0688 OLD SAYBROOK CT,105.27,
Stuff,2/19/22,WAL-MART #2898 OLD SAYBROOK CT,60.47,
Dining,2/19/22,MCDONALD'S F1346 OLD SAYBROOK CT,4.42,
Gas,2/18/22,STOP & SHOP 0652 CLINTON CT,25.55,
Stuff,2/18/22,AMZN MKTP US*1B62F6WA1 AMZN.COM/BILL WA,14.72,
Stuff,2/18/22,AMZN Mktp US*4C76L8AL3 Amzn.com/bill WA,5.91,
DIY,2/17/22,THE HOME DEPOT #6223 EAST HAVEN CT,68.93,
Gas,2/16/22,CLINTON VALERO CLINTON CT,36.1,
Dining,2/16/22,JIA MEI ASIAN KITCHEN MADISON CT,14.76,
Stuff,2/16/22,WAL-MART #3544 GUILFORD CT,75.75,
Stuff,2/16/22,LEONARD INSURANCE GROU 6107899600 PA,30,
Clothing,2/13/22,LUCKY BRAND #43372 CLINTON CT,21.26,
Clothing,2/13/22,NBFS CLINTON CLINTON CT,79.74,
Gas,2/13/22,CLINTON VALERO CLINTON CT,35.95,
DIY,2/13/22,THE HOME DEPOT 6223 EAST HAVEN CT,367.47,
Ent,2/12/22,NETFLIX.COM NETFLIX.COM CA,19.13,
